G,Date,Time,Day,School,,Opponent,State,Conf,,Pts,Opp,W,L,Streak,Notes
1,Aug 31 2019,,Sat,(15) Penn State,,Idaho,ID,Non-Major,W,79,7,1,0,W 1,
2,Sep 7 2019,,Sat,(15) Penn State,,Buffalo,NY,MAC,W,45,13,2,0,W 2,
3,Sep 14 2019,,Sat,(13) Penn State,,Pitt,PA,ACC,W,17,10,3,0,W 3,
4,Sep 27 2019,,Fri,(12) Penn State,@,Maryland,MD,Big Ten,W,59,0,4,0,W 4,
5,Oct 5 2019,,Sat,(12) Penn State,,Purdue,IN,Big Ten,W,35,7,5,0,W 5,
6,Oct 12 2019,,Sat,(10) Penn State,@,(17) Iowa,IA,Big Ten,W,17,12,6,0,W 6,
7,Oct 19 2019,,Sat,(7) Penn State,,(16) Michigan,MI ,Big Ten,W,28,21,7,0,W 7,
8,Oct 26 2019,,Sat,(6) Penn State,@,Michigan State,MI ,Big Ten,W,28,7,8,0,W 8,
9,Nov 9 2019,,Sat,(5) Penn State,@,(13) Minnesota,MN,Big Ten,L,26,31,8,1,L 1,
10,Nov 16 2019,,Sat,(9) Penn State,,(24) Indiana,IA,Big Ten,W,34,27,9,1,W 1,
11,Nov 23 2019,,Sat,(9) Penn State,@,(2) Ohio State,OH,Big Ten,L,17,28,9,2,L 1,
12,Nov 30 2019,,Sat,(12) Penn State,,Rutgers,NJ,Big Ten,W,27,6,10,2,W 1,
13,Dec 28 2019,,Sat,(13) Penn State,N,(15) Memphis,TN,American,W,53,39,11,2,W 2,Cotton Bowl
