G,Date,Year,Day,School,,Opponent,State,Conf,W/L,Pts,Opp,W,L,Streak,Notes
1,Sep 1 2018,2018,Sat,(10) Penn State,,Appalachian State,NC,Sun Belt,W,45,38,1,0,W 1,
2,Sep 8 2018,2018,Sat,(13) Penn State,@,Pitt,PA,ACC,W,51,6,2,0,W 2,
3,Sep 15 2018,2018,Sat,(10) Penn State,,Kent State,OH,MAC,W,63,10,3,0,W 3,
4,Sep 21 2018,2018,Fri,(10) Penn State,@,Illinois,IL,Big Ten,W,63,24,4,0,W 4,
5,Sep 29 2018,2018,Sat,(9) Penn State,,(4) Ohio State,OH,Big Ten,L,26,27,4,1,L 1,
6,Oct 13 2018,2018,Sat,(8) Penn State,,Michigan State,MI,Big Ten,L,17,21,4,2,L 2,
7,Oct 20 2018,2018,Sat,(18) Penn State,@,Indiana,IN,Big Ten,W,33,28,5,2,W 1,
8,Oct 27 2018,2018,Sat,(17) Penn State,,(18) Iowa,IA,Big Ten,W,30,24,6,2,W 2,
9,Nov 3 2018,2018,Sat,(14) Penn State,@,(5) Michigan,MI,Big Ten,L,7,42,6,3,L 1,
10,Nov 10 2018,2018,Sat,(21) Penn State,,Wisconsin,WI,Big Ten,W,22,10,7,3,W 1,
11,Nov 17 2018,2018,Sat,(16) Penn State,@,Rutgers,NJ,Big Ten,W,20,7,8,3,W 2,
12,Nov 24 2018,2018,Sat,(15) Penn State,,Maryland,MD,Big Ten,W,38,3,9,3,W 3,
13,Jan 1 2019,2018,Tue,(13) Penn State,N,(16) Kentucky,KY,SEC,L,24,27,9,4,L 1,Citrus Bowl
1,Aug 31 2019,2019,Sat,(15) Penn State,,Idaho,ID,Non-Major,W,79,7,1,0,W 1,
2,Sep 7 2019,2019,Sat,(15) Penn State,,Buffalo,NY,MAC,W,45,13,2,0,W 2,
3,Sep 14 2019,2019,Sat,(13) Penn State,,Pitt,PA,ACC,W,17,10,3,0,W 3,
4,Sep 27 2019,2019,Fri,(12) Penn State,@,Maryland,MD,Big Ten,W,59,0,4,0,W 4,
5,Oct 5 2019,2019,Sat,(12) Penn State,,Purdue,IN,Big Ten,W,35,7,5,0,W 5,
6,Oct 12 2019,2019,Sat,(10) Penn State,@,(17) Iowa,IA,Big Ten,W,17,12,6,0,W 6,
7,Oct 19 2019,2019,Sat,(7) Penn State,,(16) Michigan,MI ,Big Ten,W,28,21,7,0,W 7,
8,Oct 26 2019,2019,Sat,(6) Penn State,@,Michigan State,MI ,Big Ten,W,28,7,8,0,W 8,
9,Nov 9 2019,2019,Sat,(5) Penn State,@,(13) Minnesota,MN,Big Ten,L,26,31,8,1,L 1,
10,Nov 16 2019,2019,Sat,(9) Penn State,,(24) Indiana,IA,Big Ten,W,34,27,9,1,W 1,
11,Nov 23 2019,2019,Sat,(9) Penn State,@,(2) Ohio State,OH,Big Ten,L,17,28,9,2,L 1,
12,Nov 30 2019,2019,Sat,(12) Penn State,,Rutgers,NJ,Big Ten,W,27,6,10,2,W 1,
13,Dec 28 2019,2019,Sat,(13) Penn State,N,(15) Memphis,TN,American,W,53,39,11,2,W 2,Cotton Bowl
